,Word,Count
1341,prakerja,87
1342,hancur,72
1343,sore,98
1344,asyik,32
1345,asiknya,1
1346,keblunderan,1
1347,jenguk,2
1348,kucing,19
1349,percaya,534
1350,wahdah,1
1351,islamiyah,1
1352,50,212
1353,ada12,2
1354,hai,312
1355,sobatkemensetneg,4
1356,tanah,154
1357,eropa,23
1358,panti,7
1359,jompo,4
1360,mudah,243
1361,70,78
1362,rajin,70
1363,tong,7
1364,penanganan,11
1365,kalah,101
1366,sanding,4
1367,kelas,108
1368,tanding,7
1369,napas,17
1370,badai,22
1371,kadang,78
1372,nolong,4
1373,diudahin,3
1374,ngumpul2,7
1375,sinar,11
1376,land,6
1377,jalin,30
1378,homecare24,1
1379,min,73
1380,bpbd,28
1381,bolmong,1
1382,bolmongkab,1
1383,tolong,361
1384,poigar,1
1385,c,185
1386,ustad,12
1387,abcde,2
1388,antah,6
1389,derita,168
1390,boyong,2
1391,eyel,121
1392,pastibstatement,1
1393,gila,77
1394,pusing,105
1395,papar,242
1396,periksa,347
1397,sampel,51
1398,contact,14
1399,tracing,54
1400,tumpang,116
1401,kereta,64
1402,listrik,406
1403,sasar,192
1404,smartinfo,13
1405,jamin,583
1406,pangan,314
1407,komoditas,16
1408,utama,318
1409,kordinator,69
1410,bidang,226
1411,airlanga,72
1412,plus,26
1413,minus,16
1414,90,68
1415,kps,5
1416,santuy,21
1417,taufik,4
1418,tuding,33
1419,smi,9
1420,keliru,30
1421,ketimbang,51
1422,tarawih,24
1423,idulfitri,104
1424,artikelfutuready,1
1425,futuready,1
1426,pintat,1
1427,plintut,6
1428,bantua,2
1429,ilmu,103
1430,jamu,41
1431,demgan,2
1432,rempah,2
1433,tangkal,55
1434,susun,79
1435,exit,14
1436,strategy,21
1437,industri,248
1438,mahal,80
1439,mbokpemerintah,2
1440,instruksi,140
1441,janganmudikdulu,12
1442,antarwilayah,3
1443,syarat,165
1444,himpun,174
1445,umbar,7
1446,publik,422
1447,jibaku,28
1448,alih,181
1449,tuan,15
1450,puan,45
1451,dewanperwakilanrakyat,1
1452,nisan,3
1453,partisipasi,63
1454,pinjam,66
1455,unit,186
1456,tera,8
1457,livina,2
1458,kendara,83
1459,operasional,75
1460,rawan,248
1461,sumbang,112
1462,pdrb,1
1463,besar,155
1464,harus,47
1465,porsi,11
1466,maksimal,198
1467,realokasi,54
1468,penting,198
1469,teliti,121
1470,sepenuh,100
1471,km,47
1472,umkmindonesia,1
1473,bantuanumkm,1
1474,pkhindonesia,1
1475,paketsembako,2
1476,tunda,578
1477,tundamudik,20
1478,domanuto,1
1479,poldajateng,53
1480,humasrestaska,1
1481,andy,3
1482,lamghan,1
1483,afriansatya,1
1484,inovasi,120
1485,muncul,201
1486,momentum,52
1487,riset,96
1488,ngobroltempo,2
1489,lawanwabah,1
1490,edar,177
1491,video,270
1492,badung,36
1493,ajak,314
1494,phbs,16
1495,ketut,5
1496,suiasa,6
1497,cema,2
1498,x,56
1499,sema,2
1500,fk,6
1501,yarsi,1
1502,hi,48
1503,cimsa,1
1504,jauh,51
1505,udag,1
1506,punyak,4
1507,celaka,42
1508,kalog,1
1509,kwartal,1
1510,utang,133
1511,bunga,57
1512,bangkit,255
1513,walo,3
1514,paduka,3
1515,tanyapak,1
1516,sonora,74
1517,kategori,58
1518,perekonomianri,13
1519,kemensosri,117
1520,kemenbumn,99
1521,kemenkopmk,33
1522,bapenasri,12
1523,bonifasius,3
1524,mahulu,6
1525,perlu,46
1526,miliar,99
1527,bonifasiusbelawangeh,7
1528,yohanesavun,6
1529,cair,134
1530,dbh,2
1531,musiba,1
1532,dispensasi,8
1533,kuayir,1
1534,maklum,31
1535,kadrun,76
1536,tolol,70
1537,marah,111
1538,ik,10
1539,joman,24
1540,subur,7
1541,asah,19
1542,hilang,358
1543,erickthohir,59
1544,health,28
1545,security,26
1546,kspgoid,15
1547,bumnuntuknegeri,4
1548,lupa,202
1549,selalulindungikamu,1
1550,bandung,151
1551,duduk,196
1552,kakak,190
1553,kira,36
1554,nasi,53
1555,bungkus,17
1556,kabar,215
1557,ina,24
1558,rezim,47
1559,anut,11
1560,detikhealth,38
1561,lekas,27
1562,rindu,28
1563,majelis2,1
1564,pokokengaji,1
1565,nkrihargamati,5
